wiki_db	log_month	num_blocks
frwiki	2019-01-01	0
frwiki	2019-02-01	0
frwiki	2019-03-01	0
frwiki	2019-04-01	9
frwiki	2019-05-01	2
itwiki	2019-01-01	3
itwiki	2019-02-01	6
itwiki	2019-03-01	8
itwiki	2019-04-01	5
itwiki	2019-05-01	1
fawiki	2019-01-01	0
fawiki	2019-02-01	0
fawiki	2019-03-01	6
fawiki	2019-04-01	6
fawiki	2019-05-01	1
zhwiki	2019-01-01	0
zhwiki	2019-02-01	0
zhwiki	2019-03-01	0
zhwiki	2019-04-01	2
zhwiki	2019-05-01	1
arwiki	2019-01-01	0
arwiki	2019-02-01	0
arwiki	2019-03-01	4
arwiki	2019-04-01	2
arwiki	2019-05-01	1
plwiki	2019-01-01	0
plwiki	2019-02-01	0
plwiki	2019-03-01	0
plwiki	2019-04-01	3
plwiki	2019-05-01	1
hewiki	2019-01-01	0
hewiki	2019-02-01	0
hewiki	2019-03-01	0
hewiki	2019-04-01	0
hewiki	2019-05-01	3
