wiki_db	log_month	num_blocks
arwiki	2019-03-01	9
arwiki	2019-04-01	5
arwiki	2019-05-01	5
arwiki	2019-06-01	1
bnwiki	2019-05-01	1
bnwiki	2019-06-01	3
fawiki	2019-03-01	12
fawiki	2019-04-01	20
fawiki	2019-05-01	6
fawiki	2019-06-01	6
frwiki	2019-04-01	24
frwiki	2019-05-01	8
frwiki	2019-06-01	12
hewiki	2019-05-01	4
hewiki	2019-06-01	2
huwiki	2019-06-01	2
itwiki	2019-01-01	15
itwiki	2019-02-01	26
itwiki	2019-03-01	55
itwiki	2019-04-01	14
itwiki	2019-05-01	14
itwiki	2019-06-01	24
jawiki	2019-05-01	1
jawiki	2019-06-01	1
mediawikiwiki	2019-03-01	1
mediawikiwiki	2019-04-01	1
mediawikiwiki	2019-06-01	1
metawiki	2019-06-01	1
plwiki	2019-04-01	11
plwiki	2019-05-01	1
plwiki	2019-06-01	8
srwiki	2019-06-01	1
zhwiki	2019-04-01	4
zhwiki	2019-05-01	5
zhwiki	2019-06-01	1
