wiki_db	log_month	num_blocks
enwiki	2013-01-01	6436
enwiki	2013-02-01	6128
enwiki	2013-03-01	6399
enwiki	2013-04-01	6463
enwiki	2013-05-01	6623
enwiki	2013-06-01	6348
enwiki	2013-07-01	5874
enwiki	2013-08-01	5714
enwiki	2013-09-01	5855
enwiki	2013-10-01	6384
enwiki	2013-11-01	6062
enwiki	2013-12-01	5916
enwiki	2014-01-01	6343
enwiki	2014-02-01	6096
enwiki	2014-03-01	7223
enwiki	2014-04-01	6707
enwiki	2014-05-01	7375
enwiki	2014-06-01	6228
enwiki	2014-07-01	7819
enwiki	2014-08-01	7880
enwiki	2014-09-01	7040
enwiki	2014-10-01	7543
enwiki	2014-11-01	6994
enwiki	2014-12-01	7266
enwiki	2015-01-01	7984
enwiki	2015-02-01	8475
enwiki	2015-03-01	8652
enwiki	2015-04-01	6985
enwiki	2015-05-01	7167
enwiki	2015-06-01	6682
enwiki	2015-07-01	6572
enwiki	2015-08-01	7189
enwiki	2015-09-01	7064
enwiki	2015-10-01	7014
enwiki	2015-11-01	6832
enwiki	2015-12-01	6363
enwiki	2016-01-01	7214
enwiki	2016-02-01	7459
enwiki	2016-03-01	7436
enwiki	2016-04-01	8114
enwiki	2016-05-01	7502
enwiki	2016-06-01	6810
enwiki	2016-07-01	6634
enwiki	2016-08-01	6742
enwiki	2016-09-01	7513
enwiki	2016-10-01	6602
enwiki	2016-11-01	8722
enwiki	2016-12-01	7393
enwiki	2017-01-01	8958
enwiki	2017-02-01	10454
enwiki	2017-03-01	11684
enwiki	2017-04-01	9457
enwiki	2017-05-01	9908
enwiki	2017-06-01	8204
enwiki	2017-07-01	8335
enwiki	2017-08-01	8516
enwiki	2017-09-01	7876
enwiki	2017-10-01	9166
enwiki	2017-11-01	7994
enwiki	2017-12-01	7458
enwiki	2018-01-01	8431
enwiki	2018-02-01	7198
enwiki	2018-03-01	8257
enwiki	2018-04-01	8226
enwiki	2018-05-01	8310
enwiki	2018-06-01	8691
enwiki	2018-07-01	7165
enwiki	2018-08-01	7514
enwiki	2018-09-01	7769
enwiki	2018-10-01	8602
enwiki	2018-11-01	9507
enwiki	2018-12-01	8820
eswiki	2013-01-01	365
eswiki	2013-02-01	381
eswiki	2013-03-01	408
eswiki	2013-04-01	437
eswiki	2013-05-01	381
eswiki	2013-06-01	426
eswiki	2013-07-01	336
eswiki	2013-08-01	332
eswiki	2013-09-01	332
eswiki	2013-10-01	347
eswiki	2013-11-01	434
eswiki	2013-12-01	441
eswiki	2014-01-01	516
eswiki	2014-02-01	395
eswiki	2014-03-01	354
eswiki	2014-04-01	462
eswiki	2014-05-01	584
eswiki	2014-06-01	444
eswiki	2014-07-01	424
eswiki	2014-08-01	469
eswiki	2014-09-01	607
eswiki	2014-10-01	652
eswiki	2014-11-01	488
eswiki	2014-12-01	542
eswiki	2015-01-01	581
eswiki	2015-02-01	580
eswiki	2015-03-01	560
eswiki	2015-04-01	410
eswiki	2015-05-01	505
eswiki	2015-06-01	465
eswiki	2015-07-01	391
eswiki	2015-08-01	362
eswiki	2015-09-01	426
eswiki	2015-10-01	516
eswiki	2015-11-01	483
eswiki	2015-12-01	584
eswiki	2016-01-01	1050
eswiki	2016-02-01	668
eswiki	2016-03-01	613
eswiki	2016-04-01	534
eswiki	2016-05-01	514
eswiki	2016-06-01	396
eswiki	2016-07-01	455
eswiki	2016-08-01	454
eswiki	2016-09-01	450
eswiki	2016-10-01	528
eswiki	2016-11-01	519
eswiki	2016-12-01	341
eswiki	2017-01-01	592
eswiki	2017-02-01	536
eswiki	2017-03-01	576
eswiki	2017-04-01	818
eswiki	2017-05-01	547
eswiki	2017-06-01	407
eswiki	2017-07-01	320
eswiki	2017-08-01	283
eswiki	2017-09-01	492
eswiki	2017-10-01	511
eswiki	2017-11-01	632
eswiki	2017-12-01	457
eswiki	2018-01-01	473
eswiki	2018-02-01	499
eswiki	2018-03-01	590
eswiki	2018-04-01	438
eswiki	2018-05-01	530
eswiki	2018-06-01	424
eswiki	2018-07-01	264
eswiki	2018-08-01	708
eswiki	2018-09-01	1054
eswiki	2018-10-01	1048
eswiki	2018-11-01	584
eswiki	2018-12-01	688
frwiki	2013-01-01	374
frwiki	2013-02-01	413
frwiki	2013-03-01	398
frwiki	2013-04-01	506
frwiki	2013-05-01	412
frwiki	2013-06-01	286
frwiki	2013-07-01	219
frwiki	2013-08-01	245
frwiki	2013-09-01	355
frwiki	2013-10-01	495
frwiki	2013-11-01	379
frwiki	2013-12-01	367
frwiki	2014-01-01	459
