wiki_db	log_month	num_blocks
enwiki	2016-09-01	377
enwiki	2017-04-01	381
eswiki	2013-05-01	53
frwiki	2015-07-01	66
itwiki	2014-05-01	74
enwiki	2013-07-01	327
enwiki	2014-02-01	330
enwiki	2017-10-01	362
enwiki	2018-02-01	317
eswiki	2013-11-01	48
frwiki	2016-05-01	61
itwiki	2014-11-01	105
eswiki	2014-08-01	47
eswiki	2018-08-01	47
frwiki	2013-03-01	77
frwiki	2016-11-01	47
frwiki	2017-03-01	65
itwiki	2015-08-01	91
eswiki	2015-06-01	39
eswiki	2016-01-01	57
frwiki	2014-01-01	57
itwiki	2016-06-01	78
itwiki	2017-01-01	85
enwiki	2015-08-01	333
eswiki	2015-12-01	67
frwiki	2018-06-01	49
itwiki	2013-04-01	80
itwiki	2016-12-01	82
enwiki	2016-06-01	355
enwiki	2017-01-01	417
eswiki	2013-02-01	52
eswiki	2016-09-01	39
frwiki	2014-09-01	24
frwiki	2015-04-01	43
frwiki	2018-12-01	40
itwiki	2013-10-01	77
itwiki	2014-02-01	78
itwiki	2017-09-01	84
enwiki	2013-04-01	342
enwiki	2016-12-01	335
eswiki	2017-07-01	71
frwiki	2015-10-01	47
frwiki	2016-02-01	64
itwiki	2018-07-01	91
enwiki	2013-10-01	290
enwiki	2017-09-01	351
eswiki	2014-05-01	49
eswiki	2018-05-01	48
itwiki	2015-05-01	92
enwiki	2014-07-01	362
enwiki	2018-07-01	302
eswiki	2014-11-01	67
eswiki	2015-03-01	46
eswiki	2018-11-01	44
itwiki	2015-11-01	67
itwiki	2016-03-01	75
enwiki	2015-05-01	343
frwiki	2013-08-01	51
frwiki	2017-08-01	38
frwiki	2018-03-01	50
itwiki	2013-01-01	118
enwiki	2015-11-01	318
enwiki	2016-03-01	302
eswiki	2016-06-01	33
frwiki	2014-06-01	36
frwiki	2015-01-01	35
frwiki	2019-01-01	40
itwiki	2017-06-01	82
enwiki	2013-01-01	306
eswiki	2016-12-01	25
eswiki	2017-04-01	52
frwiki	2014-12-01	43
itwiki	2013-09-01	72
itwiki	2017-12-01	104
itwiki	2018-04-01	111
enwiki	2017-06-01	417
eswiki	2013-07-01	55
eswiki	2014-02-01	50
eswiki	2017-10-01	32
eswiki	2018-02-01	45
frwiki	2015-09-01	36
itwiki	2014-07-01	108
itwiki	2015-02-01	189
itwiki	2018-10-01	110
