wiki_db	log_month	num_blocks
enwiki	2014-01-01	119
enwiki	2014-02-01	95
enwiki	2014-03-01	111
enwiki	2014-04-01	83
enwiki	2014-05-01	95
enwiki	2014-06-01	115
enwiki	2014-07-01	129
enwiki	2014-08-01	111
enwiki	2014-09-01	98
enwiki	2014-10-01	106
enwiki	2014-11-01	118
enwiki	2014-12-01	93
enwiki	2015-01-01	123
enwiki	2015-02-01	127
enwiki	2015-03-01	114
enwiki	2015-04-01	106
enwiki	2015-05-01	99
enwiki	2015-06-01	108
enwiki	2015-07-01	113
enwiki	2015-08-01	99
enwiki	2015-09-01	127
enwiki	2015-10-01	115
enwiki	2015-11-01	94
enwiki	2015-12-01	95
enwiki	2016-01-01	94
enwiki	2016-02-01	100
enwiki	2016-03-01	78
enwiki	2016-04-01	75
enwiki	2016-05-01	108
enwiki	2016-06-01	108
enwiki	2016-07-01	106
enwiki	2016-08-01	101
enwiki	2016-09-01	101
enwiki	2016-10-01	104
enwiki	2016-11-01	108
enwiki	2016-12-01	71
enwiki	2017-01-01	105
enwiki	2017-02-01	105
enwiki	2017-03-01	116
enwiki	2017-04-01	121
enwiki	2017-05-01	103
enwiki	2017-06-01	124
enwiki	2017-07-01	120
enwiki	2017-08-01	112
enwiki	2017-09-01	90
enwiki	2017-10-01	93
enwiki	2017-11-01	123
enwiki	2017-12-01	91
enwiki	2018-01-01	106
enwiki	2018-02-01	74
enwiki	2018-03-01	113
enwiki	2018-04-01	88
enwiki	2018-05-01	99
enwiki	2018-06-01	97
enwiki	2018-07-01	84
enwiki	2018-08-01	91
enwiki	2018-09-01	102
enwiki	2018-10-01	90
enwiki	2018-11-01	77
eswiki	2014-01-01	11
eswiki	2014-02-01	15
eswiki	2014-03-01	10
eswiki	2014-04-01	8
eswiki	2014-05-01	24
eswiki	2014-06-01	19
eswiki	2014-07-01	11
eswiki	2014-08-01	16
eswiki	2014-09-01	14
eswiki	2014-10-01	18
eswiki	2014-11-01	19
eswiki	2014-12-01	17
eswiki	2015-01-01	14
eswiki	2015-02-01	18
eswiki	2015-03-01	23
eswiki	2015-04-01	19
eswiki	2015-05-01	12
eswiki	2015-06-01	9
eswiki	2015-07-01	19
eswiki	2015-08-01	19
eswiki	2015-09-01	6
eswiki	2015-10-01	17
eswiki	2015-11-01	13
eswiki	2015-12-01	19
eswiki	2016-01-01	18
eswiki	2016-02-01	11
eswiki	2016-03-01	22
eswiki	2016-04-01	11
eswiki	2016-05-01	16
eswiki	2016-06-01	12
eswiki	2016-07-01	10
eswiki	2016-08-01	9
eswiki	2016-09-01	10
eswiki	2016-10-01	20
eswiki	2016-11-01	16
eswiki	2016-12-01	9
eswiki	2017-01-01	7
eswiki	2017-02-01	11
eswiki	2017-03-01	22
eswiki	2017-04-01	22
eswiki	2017-05-01	12
eswiki	2017-06-01	20
eswiki	2017-07-01	24
eswiki	2017-08-01	5
eswiki	2017-09-01	15
eswiki	2017-10-01	13
eswiki	2017-11-01	8
eswiki	2017-12-01	7
eswiki	2018-01-01	17
eswiki	2018-02-01	19
eswiki	2018-03-01	15
eswiki	2018-04-01	13
eswiki	2018-05-01	15
eswiki	2018-06-01	16
eswiki	2018-07-01	15
eswiki	2018-08-01	15
eswiki	2018-09-01	13
eswiki	2018-10-01	13
eswiki	2018-11-01	9
frwiki	2014-01-01	15
frwiki	2014-02-01	24
frwiki	2014-03-01	15
frwiki	2014-04-01	20
frwiki	2014-05-01	13
frwiki	2014-06-01	14
frwiki	2014-07-01	15
frwiki	2014-08-01	15
frwiki	2014-09-01	10
frwiki	2014-10-01	16
frwiki	2014-11-01	21
frwiki	2014-12-01	13
frwiki	2015-01-01	10
frwiki	2015-02-01	18
frwiki	2015-03-01	13
frwiki	2015-04-01	11
frwiki	2015-05-01	20
frwiki	2015-06-01	11
frwiki	2015-07-01	27
frwiki	2015-08-01	15
frwiki	2015-09-01	9
frwiki	2015-10-01	15
frwiki	2015-11-01	12
frwiki	2015-12-01	20
frwiki	2016-01-01	14
frwiki	2016-02-01	19
frwiki	2016-03-01	9
frwiki	2016-04-01	10
frwiki	2016-05-01	19
frwiki	2016-06-01	16
frwiki	2016-07-01	12
frwiki	2016-08-01	15
frwiki	2016-09-01	20
frwiki	2016-10-01	13
frwiki	2016-11-01	13
frwiki	2016-12-01	13
frwiki	2017-01-01	14
frwiki	2017-02-01	9
frwiki	2017-03-01	18
frwiki	2017-04-01	17
frwiki	2017-05-01	6
frwiki	2017-06-01	16
frwiki	2017-07-01	19
frwiki	2017-08-01	15
frwiki	2017-09-01	11
frwiki	2017-10-01	20
frwiki	2017-11-01	10
frwiki	2017-12-01	15
frwiki	2018-01-01	11
frwiki	2018-02-01	26
frwiki	2018-03-01	11
frwiki	2018-04-01	29
frwiki	2018-05-01	18
frwiki	2018-06-01	19
frwiki	2018-07-01	13
frwiki	2018-08-01	9
frwiki	2018-09-01	15
frwiki	2018-10-01	9
frwiki	2018-11-01	10
itwiki	2014-01-01	26
itwiki	2014-02-01	17
