wiki_db	log_month	num_blocks
enwiki	2013-01-01	90
enwiki	2013-02-01	85
enwiki	2013-03-01	81
enwiki	2013-04-01	90
enwiki	2013-05-01	102
enwiki	2013-06-01	72
enwiki	2013-07-01	81
enwiki	2013-08-01	87
enwiki	2013-09-01	75
enwiki	2013-10-01	91
enwiki	2013-11-01	70
enwiki	2013-12-01	76
enwiki	2014-01-01	106
enwiki	2014-02-01	83
enwiki	2014-03-01	99
enwiki	2014-04-01	75
enwiki	2014-05-01	83
enwiki	2014-06-01	97
enwiki	2014-07-01	112
enwiki	2014-08-01	96
enwiki	2014-09-01	81
enwiki	2014-10-01	96
enwiki	2014-11-01	100
enwiki	2014-12-01	76
enwiki	2015-01-01	112
enwiki	2015-02-01	105
enwiki	2015-03-01	101
enwiki	2015-04-01	94
enwiki	2015-05-01	83
enwiki	2015-06-01	94
enwiki	2015-07-01	105
enwiki	2015-08-01	92
enwiki	2015-09-01	108
enwiki	2015-10-01	94
enwiki	2015-11-01	88
enwiki	2015-12-01	82
enwiki	2016-01-01	80
enwiki	2016-02-01	91
enwiki	2016-03-01	65
enwiki	2016-04-01	64
enwiki	2016-05-01	100
enwiki	2016-06-01	96
enwiki	2016-07-01	99
enwiki	2016-08-01	79
enwiki	2016-09-01	94
enwiki	2016-10-01	97
enwiki	2016-11-01	95
enwiki	2016-12-01	61
enwiki	2017-01-01	88
enwiki	2017-02-01	93
enwiki	2017-03-01	104
enwiki	2017-04-01	108
enwiki	2017-05-01	92
enwiki	2017-06-01	107
enwiki	2017-07-01	103
enwiki	2017-08-01	99
enwiki	2017-09-01	78
enwiki	2017-10-01	82
enwiki	2017-11-01	111
enwiki	2017-12-01	81
enwiki	2018-01-01	89
enwiki	2018-02-01	62
enwiki	2018-03-01	97
enwiki	2018-04-01	74
enwiki	2018-05-01	87
enwiki	2018-06-01	77
enwiki	2018-07-01	75
enwiki	2018-08-01	82
enwiki	2018-09-01	88
enwiki	2018-10-01	82
enwiki	2018-11-01	63
enwiki	2018-12-01	58
eswiki	2013-01-01	12
eswiki	2013-02-01	14
eswiki	2013-03-01	12
eswiki	2013-04-01	15
eswiki	2013-05-01	16
eswiki	2013-06-01	21
eswiki	2013-07-01	21
eswiki	2013-08-01	14
eswiki	2013-09-01	13
eswiki	2013-10-01	16
eswiki	2013-11-01	11
eswiki	2013-12-01	9
eswiki	2014-01-01	8
eswiki	2014-02-01	15
eswiki	2014-03-01	8
eswiki	2014-04-01	5
eswiki	2014-05-01	22
eswiki	2014-06-01	16
eswiki	2014-07-01	8
eswiki	2014-08-01	13
eswiki	2014-09-01	10
eswiki	2014-10-01	15
eswiki	2014-11-01	17
eswiki	2014-12-01	14
eswiki	2015-01-01	12
eswiki	2015-02-01	16
eswiki	2015-03-01	15
eswiki	2015-04-01	18
eswiki	2015-05-01	11
eswiki	2015-06-01	9
eswiki	2015-07-01	19
eswiki	2015-08-01	16
eswiki	2015-09-01	6
eswiki	2015-10-01	15
eswiki	2015-11-01	11
eswiki	2015-12-01	18
eswiki	2016-01-01	15
eswiki	2016-02-01	8
eswiki	2016-03-01	22
eswiki	2016-04-01	11
eswiki	2016-05-01	13
eswiki	2016-06-01	12
eswiki	2016-07-01	10
eswiki	2016-08-01	8
eswiki	2016-09-01	9
eswiki	2016-10-01	17
eswiki	2016-11-01	16
eswiki	2016-12-01	7
eswiki	2017-01-01	7
eswiki	2017-02-01	11
eswiki	2017-03-01	16
eswiki	2017-04-01	20
eswiki	2017-05-01	10
eswiki	2017-06-01	20
eswiki	2017-07-01	21
eswiki	2017-08-01	5
eswiki	2017-09-01	14
eswiki	2017-10-01	10
eswiki	2017-11-01	6
eswiki	2017-12-01	7
eswiki	2018-01-01	17
eswiki	2018-02-01	16
eswiki	2018-03-01	12
eswiki	2018-04-01	11
eswiki	2018-05-01	14
eswiki	2018-06-01	16
eswiki	2018-07-01	15
eswiki	2018-08-01	13
eswiki	2018-09-01	10
eswiki	2018-10-01	10
eswiki	2018-11-01	9
eswiki	2018-12-01	10
frwiki	2013-01-01	14
frwiki	2013-02-01	16
frwiki	2013-03-01	17
frwiki	2013-04-01	22
frwiki	2013-05-01	18
frwiki	2013-06-01	11
frwiki	2013-07-01	15
frwiki	2013-08-01	15
frwiki	2013-09-01	11
frwiki	2013-10-01	14
frwiki	2013-11-01	18
frwiki	2013-12-01	19
frwiki	2014-01-01	14
frwiki	2014-02-01	23
frwiki	2014-03-01	14
frwiki	2014-04-01	17
frwiki	2014-05-01	11
frwiki	2014-06-01	14
frwiki	2014-07-01	13
frwiki	2014-08-01	14
frwiki	2014-09-01	9
frwiki	2014-10-01	11
frwiki	2014-11-01	17
frwiki	2014-12-01	13
frwiki	2015-01-01	9
frwiki	2015-02-01	14
frwiki	2015-03-01	10
frwiki	2015-04-01	9
frwiki	2015-05-01	18
frwiki	2015-06-01	10
frwiki	2015-07-01	26
frwiki	2015-08-01	13
frwiki	2015-09-01	7
frwiki	2015-10-01	11
frwiki	2015-11-01	10
frwiki	2015-12-01	17
frwiki	2016-01-01	12
frwiki	2016-02-01	13
frwiki	2016-03-01	9
frwiki	2016-04-01	9
frwiki	2016-05-01	16
frwiki	2016-06-01	14
frwiki	2016-07-01	11
frwiki	2016-08-01	15
frwiki	2016-09-01	18
frwiki	2016-10-01	11
frwiki	2016-11-01	13
frwiki	2016-12-01	11
frwiki	2017-01-01	11
frwiki	2017-02-01	8
frwiki	2017-03-01	16
frwiki	2017-04-01	15
frwiki	2017-05-01	6
frwiki	2017-06-01	15
frwiki	2017-07-01	16
frwiki	2017-08-01	15
frwiki	2017-09-01	11
frwiki	2017-10-01	18
frwiki	2017-11-01	9
frwiki	2017-12-01	15
frwiki	2018-01-01	10
frwiki	2018-02-01	22
frwiki	2018-03-01	8
frwiki	2018-04-01	27
frwiki	2018-05-01	16
frwiki	2018-06-01	18
frwiki	2018-07-01	12
frwiki	2018-08-01	7
frwiki	2018-09-01	12
frwiki	2018-10-01	8
frwiki	2018-11-01	8
frwiki	2018-12-01	10
itwiki	2013-01-01	28
itwiki	2013-02-01	20
itwiki	2013-03-01	16
itwiki	2013-04-01	24
itwiki	2013-05-01	23
itwiki	2013-06-01	19
itwiki	2013-07-01	24
itwiki	2013-08-01	27
itwiki	2013-09-01	17
itwiki	2013-10-01	18
itwiki	2013-11-01	15
itwiki	2013-12-01	11
itwiki	2014-01-01	16
itwiki	2014-02-01	16
itwiki	2014-03-01	20
itwiki	2014-04-01	14
itwiki	2014-05-01	18
itwiki	2014-06-01	22
itwiki	2014-07-01	23
itwiki	2014-08-01	22
itwiki	2014-09-01	19
itwiki	2014-10-01	16
itwiki	2014-11-01	12
itwiki	2014-12-01	18
itwiki	2015-01-01	24
itwiki	2015-02-01	24
itwiki	2015-03-01	26
itwiki	2015-04-01	18
itwiki	2015-05-01	19
itwiki	2015-06-01	15
itwiki	2015-07-01	22
itwiki	2015-08-01	13
itwiki	2015-09-01	15
itwiki	2015-10-01	12
itwiki	2015-11-01	9
itwiki	2015-12-01	13
itwiki	2016-01-01	30
itwiki	2016-02-01	16
itwiki	2016-03-01	11
itwiki	2016-04-01	20
itwiki	2016-05-01	15
itwiki	2016-06-01	16
itwiki	2016-07-01	10
itwiki	2016-08-01	10
itwiki	2016-09-01	12
itwiki	2016-10-01	8
itwiki	2016-11-01	19
itwiki	2016-12-01	9
itwiki	2017-01-01	17
itwiki	2017-02-01	16
itwiki	2017-03-01	16
itwiki	2017-04-01	15
itwiki	2017-05-01	17
itwiki	2017-06-01	16
itwiki	2017-07-01	16
itwiki	2017-08-01	18
itwiki	2017-09-01	18
itwiki	2017-10-01	11
itwiki	2017-11-01	18
itwiki	2017-12-01	13
itwiki	2018-01-01	28
itwiki	2018-02-01	23
itwiki	2018-03-01	21
itwiki	2018-04-01	20
itwiki	2018-05-01	20
itwiki	2018-06-01	22
itwiki	2018-07-01	14
itwiki	2018-08-01	24
itwiki	2018-09-01	12
itwiki	2018-10-01	15
itwiki	2018-11-01	24
itwiki	2018-12-01	17
