wiki_db	log_month	num_blocks
enwiki	2013-01-01	220
enwiki	2013-02-01	221
enwiki	2013-03-01	211
enwiki	2013-04-01	260
enwiki	2013-05-01	283
enwiki	2013-06-01	200
enwiki	2013-07-01	235
enwiki	2013-08-01	229
enwiki	2013-09-01	219
enwiki	2013-10-01	223
enwiki	2013-11-01	229
enwiki	2013-12-01	231
enwiki	2014-01-01	278
enwiki	2014-02-01	259
enwiki	2014-03-01	269
enwiki	2014-04-01	229
enwiki	2014-05-01	225
enwiki	2014-06-01	250
enwiki	2014-07-01	274
enwiki	2014-08-01	251
enwiki	2014-09-01	242
enwiki	2014-10-01	250
enwiki	2014-11-01	275
enwiki	2014-12-01	237
enwiki	2015-01-01	242
enwiki	2015-02-01	291
enwiki	2015-03-01	310
enwiki	2015-04-01	223
enwiki	2015-05-01	256
enwiki	2015-06-01	258
enwiki	2015-07-01	280
enwiki	2015-08-01	242
enwiki	2015-09-01	282
enwiki	2015-10-01	249
enwiki	2015-11-01	243
enwiki	2015-12-01	220
enwiki	2016-01-01	238
enwiki	2016-02-01	244
enwiki	2016-03-01	207
enwiki	2016-04-01	226
enwiki	2016-05-01	263
enwiki	2016-06-01	250
enwiki	2016-07-01	256
enwiki	2016-08-01	252
enwiki	2016-09-01	274
enwiki	2016-10-01	257
enwiki	2016-11-01	258
enwiki	2016-12-01	231
enwiki	2017-01-01	304
enwiki	2017-02-01	260
enwiki	2017-03-01	314
enwiki	2017-04-01	282
enwiki	2017-05-01	268
enwiki	2017-06-01	306
enwiki	2017-07-01	256
enwiki	2017-08-01	288
enwiki	2017-09-01	259
enwiki	2017-10-01	267
enwiki	2017-11-01	300
enwiki	2017-12-01	256
enwiki	2018-01-01	251
enwiki	2018-02-01	231
enwiki	2018-03-01	273
enwiki	2018-04-01	239
enwiki	2018-05-01	255
enwiki	2018-06-01	254
enwiki	2018-07-01	215
enwiki	2018-08-01	221
enwiki	2018-09-01	229
enwiki	2018-10-01	223
enwiki	2018-11-01	219
enwiki	2018-12-01	196
eswiki	2013-01-01	28
eswiki	2013-02-01	45
eswiki	2013-03-01	38
eswiki	2013-04-01	50
eswiki	2013-05-01	44
eswiki	2013-06-01	49
eswiki	2013-07-01	51
eswiki	2013-08-01	44
eswiki	2013-09-01	36
eswiki	2013-10-01	39
eswiki	2013-11-01	43
eswiki	2013-12-01	32
eswiki	2014-01-01	30
eswiki	2014-02-01	39
eswiki	2014-03-01	31
