wiki_db	log_month	num_blocks
enwiki	2013-01-01	384
enwiki	2013-02-01	287
enwiki	2013-03-01	333
enwiki	2013-04-01	375
enwiki	2013-05-01	355
enwiki	2013-06-01	288
enwiki	2013-07-01	368
enwiki	2013-08-01	363
enwiki	2013-09-01	319
enwiki	2013-10-01	324
enwiki	2013-11-01	331
enwiki	2013-12-01	341
enwiki	2014-01-01	398
enwiki	2014-02-01	359
enwiki	2014-03-01	406
enwiki	2014-04-01	349
enwiki	2014-05-01	361
enwiki	2014-06-01	360
enwiki	2014-07-01	403
enwiki	2014-08-01	363
enwiki	2014-09-01	371
enwiki	2014-10-01	382
enwiki	2014-11-01	408
enwiki	2014-12-01	362
enwiki	2015-01-01	400
enwiki	2015-02-01	438
enwiki	2015-03-01	445
enwiki	2015-04-01	340
enwiki	2015-05-01	377
enwiki	2015-06-01	409
enwiki	2015-07-01	430
enwiki	2015-08-01	387
enwiki	2015-09-01	410
enwiki	2015-10-01	380
enwiki	2015-11-01	353
enwiki	2015-12-01	316
enwiki	2016-01-01	371
enwiki	2016-02-01	365
enwiki	2016-03-01	350
enwiki	2016-04-01	372
enwiki	2016-05-01	393
enwiki	2016-06-01	397
enwiki	2016-07-01	417
enwiki	2016-08-01	379
enwiki	2016-09-01	419
enwiki	2016-10-01	372
enwiki	2016-11-01	409
enwiki	2016-12-01	398
enwiki	2017-01-01	480
enwiki	2017-02-01	421
enwiki	2017-03-01	464
enwiki	2017-04-01	456
enwiki	2017-05-01	438
enwiki	2017-06-01	456
enwiki	2017-07-01	412
enwiki	2017-08-01	430
enwiki	2017-09-01	408
enwiki	2017-10-01	398
enwiki	2017-11-01	457
enwiki	2017-12-01	370
enwiki	2018-01-01	410
enwiki	2018-02-01	371
enwiki	2018-03-01	383
enwiki	2018-04-01	395
enwiki	2018-05-01	397
enwiki	2018-06-01	384
enwiki	2018-07-01	359
enwiki	2018-08-01	360
enwiki	2018-09-01	341
enwiki	2018-10-01	319
enwiki	2018-11-01	340
enwiki	2018-12-01	306
eswiki	2013-01-01	46
eswiki	2013-02-01	47
eswiki	2013-03-01	62
eswiki	2013-04-01	75
eswiki	2013-05-01	69
eswiki	2013-06-01	64
eswiki	2013-07-01	52
eswiki	2013-08-01	47
eswiki	2013-09-01	38
eswiki	2013-10-01	51
eswiki	2013-11-01	52
eswiki	2013-12-01	45
eswiki	2014-01-01	48
eswiki	2014-02-01	46
eswiki	2014-03-01	33
eswiki	2014-04-01	40
eswiki	2014-05-01	57
eswiki	2014-06-01	44
eswiki	2014-07-01	40
eswiki	2014-08-01	62
eswiki	2014-09-01	57
eswiki	2014-10-01	82
eswiki	2014-11-01	54
eswiki	2014-12-01	57
eswiki	2015-01-01	55
eswiki	2015-02-01	42
eswiki	2015-03-01	62
eswiki	2015-04-01	55
eswiki	2015-05-01	39
eswiki	2015-06-01	46
eswiki	2015-07-01	45
eswiki	2015-08-01	55
eswiki	2015-09-01	51
eswiki	2015-10-01	62
eswiki	2015-11-01	39
eswiki	2015-12-01	70
eswiki	2016-01-01	70
eswiki	2016-02-01	49
eswiki	2016-03-01	56
eswiki	2016-04-01	31
eswiki	2016-05-01	52
eswiki	2016-06-01	42
eswiki	2016-07-01	42
eswiki	2016-08-01	30
eswiki	2016-09-01	33
eswiki	2016-10-01	48
eswiki	2016-11-01	39
eswiki	2016-12-01	23
eswiki	2017-01-01	34
eswiki	2017-02-01	49
eswiki	2017-03-01	48
eswiki	2017-04-01	86
eswiki	2017-05-01	35
eswiki	2017-06-01	35
eswiki	2017-07-01	53
eswiki	2017-08-01	28
eswiki	2017-09-01	47
eswiki	2017-10-01	33
eswiki	2017-11-01	36
eswiki	2017-12-01	40
eswiki	2018-01-01	52
eswiki	2018-02-01	42
eswiki	2018-03-01	49
eswiki	2018-04-01	36
eswiki	2018-05-01	46
eswiki	2018-06-01	39
eswiki	2018-07-01	47
eswiki	2018-08-01	47
eswiki	2018-09-01	37
eswiki	2018-10-01	46
eswiki	2018-11-01	41
eswiki	2018-12-01	46
frwiki	2013-01-01	93
frwiki	2013-02-01	61
frwiki	2013-03-01	88
frwiki	2013-04-01	90
frwiki	2013-05-01	88
frwiki	2013-06-01	51
frwiki	2013-07-01	51
frwiki	2013-08-01	59
frwiki	2013-09-01	50
frwiki	2013-10-01	67
frwiki	2013-11-01	60
frwiki	2013-12-01	63
frwiki	2014-01-01	64
frwiki	2014-02-01	68
frwiki	2014-03-01	57
frwiki	2014-04-01	62
frwiki	2014-05-01	57
frwiki	2014-06-01	47
frwiki	2014-07-01	39
frwiki	2014-08-01	39
frwiki	2014-09-01	38
frwiki	2014-10-01	36
frwiki	2014-11-01	53
frwiki	2014-12-01	46
frwiki	2015-01-01	49
frwiki	2015-02-01	39
frwiki	2015-03-01	47
frwiki	2015-04-01	46
frwiki	2015-05-01	49
frwiki	2015-06-01	51
frwiki	2015-07-01	56
frwiki	2015-08-01	49
frwiki	2015-09-01	49
frwiki	2015-10-01	46
frwiki	2015-11-01	48
frwiki	2015-12-01	39
frwiki	2016-01-01	69
frwiki	2016-02-01	66
frwiki	2016-03-01	65
frwiki	2016-04-01	41
frwiki	2016-05-01	77
frwiki	2016-06-01	54
frwiki	2016-07-01	39
frwiki	2016-08-01	47
frwiki	2016-09-01	46
frwiki	2016-10-01	42
frwiki	2016-11-01	58
frwiki	2016-12-01	40
frwiki	2017-01-01	65
frwiki	2017-02-01	41
frwiki	2017-03-01	70
frwiki	2017-04-01	64
frwiki	2017-05-01	57
frwiki	2017-06-01	54
frwiki	2017-07-01	47
frwiki	2017-08-01	43
frwiki	2017-09-01	42
frwiki	2017-10-01	48
frwiki	2017-11-01	49
frwiki	2017-12-01	47
frwiki	2018-01-01	49
frwiki	2018-02-01	68
frwiki	2018-03-01	58
frwiki	2018-04-01	88
frwiki	2018-05-01	40
frwiki	2018-06-01	55
frwiki	2018-07-01	42
frwiki	2018-08-01	38
frwiki	2018-09-01	39
frwiki	2018-10-01	36
frwiki	2018-11-01	42
frwiki	2018-12-01	52
itwiki	2013-01-01	133
itwiki	2013-02-01	89
itwiki	2013-03-01	101
itwiki	2013-04-01	85
itwiki	2013-05-01	96
itwiki	2013-06-01	91
itwiki	2013-07-01	103
itwiki	2013-08-01	114
itwiki	2013-09-01	85
itwiki	2013-10-01	85
itwiki	2013-11-01	96
itwiki	2013-12-01	75
itwiki	2014-01-01	154
itwiki	2014-02-01	82
itwiki	2014-03-01	85
itwiki	2014-04-01	82
itwiki	2014-05-01	93
itwiki	2014-06-01	113
itwiki	2014-07-01	138
itwiki	2014-08-01	149
itwiki	2014-09-01	126
itwiki	2014-10-01	95
itwiki	2014-11-01	127
itwiki	2014-12-01	166
itwiki	2015-01-01	192
itwiki	2015-02-01	199
itwiki	2015-03-01	242
itwiki	2015-04-01	140
itwiki	2015-05-01	115
itwiki	2015-06-01	131
itwiki	2015-07-01	131
itwiki	2015-08-01	104
itwiki	2015-09-01	83
itwiki	2015-10-01	95
itwiki	2015-11-01	80
itwiki	2015-12-01	89
itwiki	2016-01-01	117
itwiki	2016-02-01	102
itwiki	2016-03-01	90
itwiki	2016-04-01	102
itwiki	2016-05-01	94
itwiki	2016-06-01	91
itwiki	2016-07-01	61
itwiki	2016-08-01	100
itwiki	2016-09-01	115
itwiki	2016-10-01	138
itwiki	2016-11-01	95
itwiki	2016-12-01	91
itwiki	2017-01-01	109
itwiki	2017-02-01	102
itwiki	2017-03-01	127
itwiki	2017-04-01	93
itwiki	2017-05-01	96
itwiki	2017-06-01	109
itwiki	2017-07-01	96
itwiki	2017-08-01	99
itwiki	2017-09-01	92
itwiki	2017-10-01	99
itwiki	2017-11-01	107
itwiki	2017-12-01	128
itwiki	2018-01-01	150
itwiki	2018-02-01	154
itwiki	2018-03-01	143
itwiki	2018-04-01	144
itwiki	2018-05-01	156
itwiki	2018-06-01	141
itwiki	2018-07-01	123
itwiki	2018-08-01	129
itwiki	2018-09-01	84
itwiki	2018-10-01	144
itwiki	2018-11-01	199
itwiki	2018-12-01	208
